歌名,歌手,语言和曲风,难度,价格,,,,,,
那么骄傲,金海心,流行,简单,,,,,,,
不醉不会,田馥甄,流行,中等,,,,,,,
昨日青空,尤长靖,流行,中等,,,,,,,
最后一页,江语晨,流行,中等,,,,,,,
孤单心事,蓝又时,流行,简单,,,,,,,
热带雨林,S.H.E,流行,简单,,,,,,,
破晓将至,云の泣,流行,中等,,,,,,,
无人之岛,任然,流行,简单,,,,,,,
耿耿于怀,王笑文,流行,简单,,,,,,,
说散就散,JC(陈咏桐),流行,简单,,,,,,,
独家记忆,陈小春,流行,简单,,,,,,,
蝴蝶泉边,黄雅莉,流行,简单,,,,,,,
星辰大海,黄霄云,流行,困难,,,,,,,
错位时空,艾辰,流行,简单,,,,,,,
时光盲盒,ChiliChill,流行,简单,,,,,,,
明天你好,牛奶咖啡,流行,简单,,,,,,,
阿楚姑娘,袁娅维,流行,中等,,,,,,,
不朽之罪,玄觞、双笙,流行,简单,,,,,,,
第三人称,戚薇,流行,简单,,,,,,,
胡桃夹子,张碧晨,流行,困难,,,,,,,
寂寞烟火,朱婧汐,流行,简单,,,,,,,
岁月神偷,金玟岐,流行,简单,,,,,,,
像风一样,薛之谦,流行,简单,,,,,,,
爱我别走,张震岳,流行,简单,,,,,,,
没有意外,蔡徐坤,流行,简单,,,,,,,
时间飞行,朱一龙、白宇,流行,简单,,,,,,,
睫毛弯弯,王心凌,流行,中等,,,,,,,
天空之外,弦子,流行,中等,,,,,,,
南屏晚钟,卓依婷,流行,简单,,,,,,,
恋爱频率,许志安、许慧欣,流行,简单,,,,,,,
漠河舞厅,柳爽,流行,简单,,,,,,,
香水有毒,胡杨林,流行,简单,,,,,,,
夜夜夜夜,齐秦,流行,简单,,,,,,,
亲密爱人,王若琳,流行,简单,,,,,,,
你的珍藏,单依纯,流行,简单,,,,,,,
提拉米苏,新乐尘符、李思雨,流行,简单,,,,,,,
失联星球,唐九夏,流行,简单,,,,,,,
太难唱了,彭佳慧,流行,困难,100,,,,,,
我的美丽,黄绮珊,流行,中等,,,,,,,
霓虹泡泡,吉诺尔Kino,流行,简单,,,,,,,
老娘驾到,小黄飞,流行,简单,,,,,,,
字字句句,卢卢快闭嘴,流行,简单,,,,,,,
天若有情,A-lin,流行,中等,,,,,,,
self,陈绮贞,流行,困难,,,,,,,
听妈妈的话,周杰伦,流行,简单,,,,,,,
听爸爸的话,周杰伦,流行,中等,,,,,,,
手写的从前,周杰伦,流行,简单,,,,,,,
雨下一整晚,周杰伦,流行,简单,,,,,,,
爱在西元前,周杰伦,流行,简单,,,,,,,
哪里都是你,周杰伦,流行,超级难,100,,,,,,
世界未末日,周杰伦,流行,简单,,,,,,,
算什么男人,周杰伦,流行,简单,,,,,,,
超人不会飞,周杰伦,流行,简单,,,,,,,
反方向的钟,周杰伦,流行,简单,,,,,,,
最长的电影,周杰伦,流行,困难,,,,,,,
最后的战役,周杰伦,流行,简单,,,,,,,
爱笑的眼睛,林俊杰,流行,中等,,,,,,,
黑夜问白天,林俊杰,流行,困难,,,,,,,
可惜没如果,林俊杰,流行,简单,,,,,,,
背对背拥抱,林俊杰,流行,中等,,,,,,,
会呼吸的痛,梁静茹,流行,简单,,,,,,,
可惜不是你,梁静茹,流行,简单,,,,,,,
小手拉大手,梁静茹,流行,简单,,,,,,,
红色高跟鞋,蔡健雅,流行,简单,,,,,,,
越来越不懂,蔡健雅,流行,简单,,,,,,,
别找我麻烦,蔡健雅,流行,简单,,,,,,,
盛夏的果实,莫文蔚,流行,简单,,,,,,,
慢慢喜欢你,莫文蔚,流行,简单,,,,,,,
外面的世界,莫文蔚,流行,简单,,,,,,,
突然好想你,五月天,流行,中等,,,,,,,
后来的我们,五月天,流行,简单,,,,,,,
恋爱ING,五月天,流行,简单,,,,,,,
私奔到月球,五月天、陈绮贞,流行,简单,,,,,,,
旅行的意义,陈绮贞,流行,简单,,,,,,,
还是会寂寞,陈绮贞,流行,简单,,,,,,,
爱我还是他,陶喆,流行,中等,,,,,,,
讨厌红楼梦,陶喆,流行,简单,,,,,,,
尚好的青春,孙燕姿,流行,简单,,,,,,,
当冬夜渐暖,孙燕姿,流行,中等,,,,,,,
奇妙能力歌,陈粒,流行,简单,,,,,,,
易燃易爆炸,陈粒,流行,中等,,,,,,,
怎么唱情歌,刘惜君,流行,简单,,,,,,,
少一点天分,孙盛希,流行,简单,,,,,,,
不完美小孩,TFBOYS,流行,简单,,,,,,,
小丑的品格,泠鸢yousa,流行,简单,,,,,,,
至少还有你,林忆莲,流行,简单,,,,,,,
一直很安静,阿桑,流行,简单,,,,,,,
有一种悲伤,A-lin,流行,中等,,,,,,,
一样的月光,徐佳莹,流行,中等,,,,,,,
东京不太热,洛天依,流行,简单,,,,,,,
孤单北半球,欧得洋,流行,简单,,,,,,,
是你依然在,萧忆情,流行,简单,,,,,,,
你曾是少年,S.H.E,流行,简单,,,,,,,
有一个地方,吴亦凡,流行,简单,,,,,,,
爱的回归线,陈韵若、陈每文,流行,简单,,,,,,,
靠近一点点,梁心颐,流行,简单,,,,,,,
别问很可怕,J.Sheon,流行,中等,,,,,,,
其实都没有,杨宗纬,流行,简单,,,,,,,
最后的旅行,Rainton桐,流行,中等,,,,,,,
心愿便利贴,元若蓝、吴忠明,流行,简单,,,,,,,
下一个天亮,郭静,流行,简单,,,,,,,
我只在乎你,邓丽君,流行,简单,,,,,,,
如果有来生,谭维维,流行,中等,,,,,,,
走在冷风中,刘思涵,流行,简单,,,,,,,
我最亲爱的,张惠妹,流行,简单,,,,,,,
只是太爱你,张敬轩,流行,简单,,,,,,,
踮起脚尖爱,洪佩瑜,流行,简单,,,,,,,
爱就一个字,张信哲,流行,简单,,,,,,,
淋雨一直走,张韶涵,流行,困难,,,,,,,
早开的晚霞,林宥嘉,流行,简单,,,,,,,
在夜里跳舞,单依纯,流行,简单,,,,,,,
匿名的好友,杨丞琳,流行,简单,,,,,,,
如果爱忘了,戚薇,流行,简单,,,,,,,
剩下的盛夏,TFBOYS,流行,简单,,,,,,,
想念拟人化,孟慧圆,流行,简单,,,,,,,
当爱在靠近,刘若英,流行,简单,,,,,,,
我是一只鱼,任贤齐,流行,简单,,,,,,,
想你想疯了,彭佳慧,流行,超级难,100,,,,,,
全世界失眠,陈奕迅,流行,简单,,,,,,,
寂寞沙洲冷,周传雄,流行,简单,,,,,,,
再见萤火虫,王菲,流行,困难,,,,,,,
突然想起你,萧亚轩,流行,简单,,,,,,,
旅行中忘记,袁娅维,流行,简单,,,,,,,
Lydia,F.I.R. 飞儿乐团,流行,中等,,,,,,,
Simon,周菲戈,流行,困难,100,,,,,,
蒲公英的约定,周杰伦,流行,简单,,,,,,,
不爱我就拉倒,周杰伦,流行,简单,,,,,,,
不能说的秘密,周杰伦,流行,简单,,,,,,,
说好的幸福呢,周杰伦,流行,简单,,,,,,,
上海一九四三,周杰伦,流行,简单,,,,,,,
爱的飞行日记,周杰伦,流行,中等,,,,,,,
MOJITO,周杰伦,流行,简单,,,,,,,
如果你也听说,张惠妹,流行,困难,,,,,,,
血腥爱情故事,张惠妹,流行,超级难,100,,,,,,
化身孤岛的鲸,周深,流行,简单,,,,,,,
灯火里的中国,张也、周深,流行,超级难,100,,,,,,
祝我生日快乐,温岚,流行,简单,,,,,,,
susan说,陶喆,流行,简单,,,,,,,
melody,陶喆,流行,简单,,,,,,,
马德里不思议,蔡依林,流行,简单,,,,,,,
幸福了然后呢,A-lin,流行,简单,,,,,,,
那女孩对我说,黄义达,流行,简单,,,,,,,
阿飞的小蝴蝶,萧敬腾,流行,简单,,,,,,,
有可能的夜晚,曾轶可,流行,简单,,,,,,,
永不失联的爱,周兴哲,流行,中等,,,,,,,
阿拉斯加海湾,蓝心羽,流行,简单,,,,,,,
第一次爱的人,王心凌,流行,简单,,,,,,,
你要的全拿走,胡彦斌,流行,中等,,,,,,,
我真的受伤了,张学友,流行,简单,,,,,,,
你不知道的事,王力宏,流行,简单,,,,,,,
恋爱困难少女,ChiliChill,流行,简单,,,,,,,
乌兰巴托的夜,谭维维,流行,超级难,100,,,,,,
眼泪落下之前,汪苏泷,流行,简单,,,,,,,
想淋雨就别走,Fine乐团,流行,中等,,,,,,,
我也不想这样,王菲,流行,简单,,,,,,,
阳光下的星星,金海心,流行,简单,,,,,,,
十万毫升泪水,蔡健雅,流行,中等,,,,,,,
123木头人,黑girl,流行,简单,,,,,,,
My Love,田馥甄,流行,简单,,,,,,,
我落泪情绪零碎,周杰伦,流行,简单,,,,,,,
听见下雨的声音,周杰伦,流行,困难,30,,,,,,
不为谁而作的歌,林俊杰,流行,困难,,,,,,,
被风吹过的夏天,林俊杰、金莎,流行,简单,,,,,,,
流浪的猫写情诗,音阙诗听、李佳思,流行,简单,,,,,,,
给电影人的情书,蔡琴,流行,简单,,,,,,,
这世界那么多人,莫文蔚,流行,简单,,,,,,,
怎么说我不爱你,萧敬腾,流行,中等,,,,,,,
多远都要在一起,邓紫棋,流行,中等,,,,,,,
爱你不是两三天,梁静茹,流行,简单,,,,,,,
你就不要想起我,田馥甄,流行,中等,,,,,,,
明天我要嫁给你,周华健,流行,简单,,,,,,,
漂洋过海来看你,丁当,流行,简单,,,,,,,
一身诗意千寻瀑,不才,流行,困难,,,,,,,
夏夜最后的烟火,颜人中,流行,简单,,,,,,,
无与伦比的美丽,苏打绿,流行,简单,,,,,,,
飞机场的10:30,陶喆,流行,中等,,,,,,,
原来你也在这里,刘若英,流行,简单,,,,,,,
致姗姗来迟的你,阿肆、林宥嘉,流行,简单,,,,,,,
比你更爱我的人,陈壹千,流行,简单,,,,,,,
我知道你很难过,蔡依林,流行,简单,,,,,,,
mine mine,周杰伦,流行,简单,,,,,,,
给我一首歌的时间,周杰伦,流行,简单,,,,,,,
给我一个理由忘记,A-lin,流行,困难,,,,,,,
刻在我心底的名字,卢广仲,流行,简单,,,,,,,
女孩你为何踮脚尖,双笙,流行,中等,,,,,,,
那些你很冒险的梦,林俊杰,流行,简单,,,,,,,
我的悲伤是水做的,ChiliChill,流行,简单,,,,,,,
陪你度过漫长岁月,陈奕迅,流行,简单,,,,,,,
好想爱这个世界啊,华晨宇,流行,中等,,,,,,,
那年夏天宁静的海,王心凌,流行,中等,,,,,,,
世界上的另一个我,阿肆、郭采洁,流行,简单,,,,,,,
此生与你不过相逢,上古呐,流行,中等,,,,,,,
好像掉进爱情海里,赵露思、谷嘉诚,流行,简单,,,,,,,
远虑休憩中的邂逅,泠鸢yousa,流行,中等,,,,,,,
亲爱的那不是爱情,张韶涵,流行,中等,,,,,,,
你被写在我的歌里,苏打绿、ella,流行,简单,,,,,,,
我对自己开了一枪,佛跳墙乐队,流行,困难,,,,,,,
原来你什么都不要,孙燕姿,流行,简单,,,,,,,
她来听我的演唱会,张学友,流行,简单,,,,,,,
想见你想见你想见你,张杰,流行,简单,,,,,,,
我在池袋看漂亮姐姐,Infinity,流行,简单,,,,,,,
还是你的笑容最可爱,音阙诗听、泠鸢yousa、王梓钰,流行,简单,,,,,,,
就让这大雨全部落下,容祖儿,流行,中等,,,,,,,
你怎么连话都说不清楚,蔡依林,流行,简单,,,,,,,
下辈子如果我还记得你,马郁,流行,简单,,,,,,,
我喜欢上你时的内心活动,陈绮贞,流行,简单,,,,,,,
写给我第一个喜欢的女孩的歌,洛天依,流行,简单,,,,,,,
honey honey,孙燕姿,流行,简单,,,,,,,
forever young,艾怡良,流行,简单,,,,,,,
letting go,蔡健雅,流行,简单,,,,,,,
Cinderella,岚AYA,流行,简单,,,,,,,
ringringring,SHE,流行,简单,,,,,,,
beautiful love,蔡健雅,流行,简单,,,,,,,
大哥,卫兰,粤语,中等,,,,,,,
验伤,卫兰,粤语,中等,,,,,,,
够钟,周柏豪,粤语,简单,,,,,,,
小白,周柏豪,粤语,简单,,,,,,,
烟霞,容祖儿,粤语,中等,,,,,,,
痛爱,容祖儿,粤语,中等,,,,,,,
情人,Beyond,粤语,简单,,,,,,,
孤雏,AGA,粤语,简单,,,,,,,
初恋,林志美,粤语,简单,,,,,,,
处处吻,杨千嬅,粤语,简单,,,,,,,
狼来了,杨千嬅,粤语,简单,,,,,,,
喜帖街,谢安琪,粤语,简单,,,,,,,
钟无艳,谢安琪,粤语,困难,,,,,,,
爱与诚,古巨基,粤语,简单,,,,,,,
必杀技,古巨基,粤语,简单,,,,,,,
一格格,卫兰,粤语,简单,,,,,,,
咁咁咁,The pancakes,粤语,简单,,,,,,,
兰亭序（粤语版）,周杰伦,粤语,简单,,,,,,,
搜神记,容祖儿,粤语,困难,100,,,,,,
小手术,王菀之,粤语,简单,,,,,,,
你瞒我瞒,陈柏宇,粤语,简单,,,,,,,
拍一半拖,陈柏宇,粤语,简单,,,,,,,
心之科学,容祖儿,粤语,困难,,,,,,,
呼吸有害,莫文蔚,粤语,简单,,,,,,,
再见悲哀,林忆莲,粤语,简单,,,,,,,
东京人寿,容祖儿,粤语,困难,30,,,,,,
身体健康,张卫健,粤语,简单,,,,,,,
难念的经,周华健,粤语,中等,,,,,,,
娱乐人生,陈蕾,粤语,简单,,,,,,,
周末画报,薛凯琪,粤语,中等,,,,,,,
明知做戏,吴雨霏,粤语,中等,,,,,,,
天生二品,陈凯咏,粤语,简单,,,,,,,
街灯晚餐,卫兰,粤语,简单,,,,,,,
我怀念的你,卫兰,粤语,简单,,,,,,,
再见二丁目,杨千嬅,粤语,简单,,,,,,,
月半小夜曲,陈慧娴,粤语,简单,,,,,,,
留什么给你,王晴,粤语,简单,,,,,,,
分分钟需要你,林忆莲,粤语,简单,,,,,,,
不要离我太远,邓丽欣,粤语,简单,,,,,,,
可惜我是水瓶座,杨千嬅,粤语,中等,,,,,,,
不呼不吸几多秒,薛凯琪,粤语,简单,,,,,,,
就算世界无童话,卫兰,粤语,简单,,,,,,,
一分钟稀客一分钟色诱,吴雨霏,粤语,简单,,,,,,,
lonely Christmas,陈奕迅,粤语,简单,,,,,,,
8.8,あたらよ,日语,中等,,,,,,,
群青,YOASOBI,日语,困难,,,,,,,
夏影,Lia,日语,简单,,,,,,,
苍鸟/蒼い鳥,今井麻美,日语,简单,,,,,,,
火花/スパークル,RADWIMPS,日语,简单,,,,,,,
我爱你/爱してる,高铃,日语,简单,,,,,,,
月光石,Rurutia,日语,简单,,,,,,,
恋の歌,伊藤彩沙,日语,简单,,,,,,,
爱し子よ,Rurutia,日语,简单,,,,,,,
打上花火,米津玄师，DAOKO,日语,中等,,,,,,,
瑠璃の鳥/琉璃之鸟,霜月はるか,日语,中等,,,,,,,
我爱你上海蟹,カニ研究会,日语,简单,,,,,,,
planet,ラムジ,日语,简单,,,,,,,
inside you,milet,日语,困难,,,,,,,
パンダ ~パステルカラーは夢~,KOKIA,日语,简单,,,,,,,
さよならの夏～コクリコ坂から～,手嶌葵,日语,简单,,,,,,,
Departures~あなたにおくるアイの歌~,ryo,日语,困难,,,,,,,
